"patent_id";"patent_name";"publication_number";"publication_date";"application_number";"application_date";"grant_number";"grant_date";"priority_date";"inventors";"patent_holder";"classification";"brief_description";"claims_count";"cited_patents_count";"cited_by_count";"legal_status"
US10006050B2;"""Recombinant poxviral vectors expressing both rabies and OX40 proteins, and vaccines made therefrom""";US20170137843A1;"2017/5/18";"""US15/410,588""";"2017/1/19";"";"2018/6/26";"2012/2/14";"""Teshome Mebatsion,Jules Maarten Minke,Frederic David""";"""Merial Inc""";A61K39/008||C12N15/86||A61K39/12||A61K39/205||A61K39/39||A61P31/12||A61P31/14||A61P31/16||A61P37/04||A61P43/00||C12N15/8633||A61K2039/5256||A61K2039/53||A61K2039/552||A61K2039/55516||C12N2710/24043||C12N2760/20134||;"""The present invention provides vectors that contain and co-express in vivo or in vitro immunogenic polypeptides or antigens together with an OX40L polypeptide, which functions as a genetic adjuvant. Together, the immunogenic polypeptide and the OX40L polypeptide elicit an immune response in animal or human, which is greater than the immune response elicited by the immunogenic polypeptide alone. In a particular example, the invention provides vectors encoding a Rabies G immunogenic polypeptide and a canine OX40L genetic adjuvant, which vectors elicit strong immune responses in canine against rabies virus.""";"20";"37";"8";JP - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, CN - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, WO - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, EP - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, EA - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, BR - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, US - Active, CA - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, ES - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, NZ - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, MX - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, AU - Active Active Application Filing Active IP Right Cessation Search and Examination Active Pending Active Active  IP Right Grant Active  Active, HK - 
US10006056B2;"""Yeast having enhanced xylose fermentation ability, and use therefor""";US20160298140A1;"2016/10/13";"""US14/910,810""";"2014/8/8";"";"2018/6/26";"2013/8/8";"""Satoru Ohgiya,Yoichi Kamagata,Kazuhiro Fujimori,Takehiko Sahara,Takashi Akamatsu,Hisataka TAGUCHI""";"""National Institute of Advanced Industrial Science and Technology AIST""";C12P7/06||C07K14/39||C07K14/395||C12N1/185||C12P7/04||C12P7/16||C12P7/20||C12P7/46||C12P7/54||C12P7/56||C12R1/865||C12R2001/865||Y02E50/10||Y02E50/17||;"""The present invention pertains to: mutant genes having a mutation such as a base substitution in the MTH1, GRR1 and/or CDC19 coding regions thereof; mutant proteins coded by said mutant genes; an upstream region of the GRR1 coding region having a mutation such as a base substitution; a yeast such as Saccharomyces having said upstream region; and a method for producing a substance such as ethanol by using said yeast.""";"14";"2";"1";JP - Active, US - Active Application Filing, WO - Active Application Filing
US10006057B2;"""Recombinant yeast having enhanced gamma valerolactone tolerance and methods of use""";US20160068869A1;"2016/3/10";"""US14/848,440""";"2015/9/9";"";"2018/6/26";"2014/9/10";"""Jeff S. Piotrowski,Trey K. Sato,Chad L. Myers""";"""Wisconsin Alumni Research Foundation""";C12P7/10||C12N1/14||C12N15/81||Y02E50/10||Y02E50/16||;"""The present invention relates to materials and methods for the production of ethanol. More particularly, the present invention provides genetically modified strains of Saccharomyces cerevisiae having enhanced tolerance for gamma valerolactone (GVL) toxicity. Also provided are methods of using such genetically engineered yeast strains for improved GVL-mediated hydrolysis of lignocellulosic biomass for industrial-scale ethanol production.""";"22";"2";"1";US - Active
US1000605A;"""Copy""";US1000605A;"";"""US45650408A""";"1908/10/6";US1000605A;"1911/8/15";"1908/10/6";"""Floyd D Jones""";"""COMMERCIAL CAMERA Co""";A47B23/04||;"";"";"0";"1";US - Expired - Lifetime
US1000606A;"""Black trisazo dye.""";US1000606A;"";"""US62680111A""";"1911/5/12";US1000606A;"1911/8/15";"1911/5/12";"""Myrtil Kahn,Anton Ossenbeck""";"""Bayer AG""";C09B31/18||;"";"";"0";"0";US - Expired - Lifetime
US10006071B2;"""Methods to control secretion of metabolic byproducts in algae to enhance recovery of said byproducts""";US20150132799A1;"2015/5/14";"""US14/572,550""";"2014/12/16";US10006071B2;"2018/6/26";"2010/4/22";"""Nitin S. BALIGA,Monica V. Orellana,Kenia Whitehead,W. Lee Pang""";"""INSTITUTE FOR SYSTEM BIOLOGY""";C12P39/00||A01G33/00||Y02A40/80||Y02A40/88||;"""Methods are provided to control the harvesting of desired metabolic byproducts from hypersaline photosynthetic algae. Methods are presented to control secretion of said metabolic products in monocultures and co-cultures after accumulation of byproducts. The metabolic byproduct secretion is controlled by controlling caspase activity.""";"7";"2";"3";US - Active, WO - Expired - Fee Related Application Filing
US10006078B2;"""Use of phospho""";US20140080872A1;"2014/3/20";"""US14/005,680""";"2012/3/28";US10006078B2;"2018/6/26";"2011/3/29";"""Heidi Alexandra Lane,Felix Bachmann""";"""Basilea Pharmaceutica AG""";C12Q1/485||A61P35/00||A61P37/02||C07D413/04||C07D413/14||G01N33/57407||G01N2440/14||G01N2800/52||;"""Use of phospho-Akt as a biomarker for predicting the response, such as resistance, to a compound, wherein phospho-Akt is Akt that has been phosphorylated on one or more residues, with the proviso that for Akt1, Akt2, and Akt3 the designation phospho-Akt is used to indicate phosphorylation at a site other than T308, T309 or T305 respectively, wherein the compound is a compound of general formula (I).""";"81";"9";"5";PL - Active  Application Filing Active  Ceased Active Active  Pending Active, EP - Active  Application Filing Active  Ceased Active Active  Pending Active, DK - Active  Application Filing Active  Ceased Active Active  Pending Active, WO - Active  Application Filing Active  Ceased Active Active  Pending Active, ES - Active  Application Filing Active  Ceased Active Active  Pending Active, PT - Active  Application Filing Active  Ceased Active Active  Pending Active, AU - Active  Application Filing Active  Ceased Active Active  Pending Active, US - Active, CN - Active  Application Filing Active  Ceased Active Active  Pending Active, HU - Active  Application Filing Active  Ceased Active Active  Pending Active, CA - Active  Application Filing Active  Ceased Active Active  Pending Active, JP - Active  Application Filing Active  Ceased Active Active  Pending Active, ZA - 
US10006080B2;"""High""";US20160376634A1;"2016/12/29";"""US15/038,819""";"2014/11/25";"";"2018/6/26";"2013/11/28";"""Vladimir Nikolaevich KOLYADKO,Fazoil Inoyatovich Ataullakhanov,Mikhail Aleksandrovich Panteleev,Tatyana Alekseevna VUYMO,Ruzanna Armenovna OVSEPYAN,Stepan Sergeevich SUROV,Vera Anatoljevna KORNEEVA""";"""Obschestvo S Ogranichennoy Otvetstvennostyu Gematologicheskaya Korporatsiya""";C12Q1/56||A61K38/57||C07K14/435||C07K14/43563||C07K14/81||C07K14/811||C07K14/8135||G01N33/86||G01N2333/96458||;"""The present invention relates to medicine, hematology, biotechnology and fundamental biological research; it can be used for diagnostic and research purposes when studying blood coagulation. One of the aspects of the invention is a polypeptide for selective inhibition of contact activation factor XIIa in a sample of blood or plasma, which comprises the sequence of infestin-4 MutB (SEQ ID NO: 1), where this sequence can have modifications outside the area of the inhibitory loop. Another aspect of the invention is a method of studying coagulation in the test sample, which includes bringing the sample into contact with this polypeptide, bringing a coagulation activator into contact with the sample, and measuring the coagulation parameters. Yet another aspect of the invention is a method of blood anticoagulation by this polypeptide for collection purposes and in order to increase the storage time of the sample.""";"27";"7";"1";RU - , EP - Active Active Application Filing, US - Active Active Application Filing, WO - Active Active Application Filing
US10006088B2;"""Genetic polymorphisms associated with psoriasis, methods of detection and uses thereof""";US20170022564A1;"2017/1/26";"""US15/151,643""";"2016/5/11";US10006088B2;"2018/6/26";"2006/9/11";"""Ann Begovich,Ellen Beasley,Michele Cargill,Steven Schrodi""";"""Celera Corp""";C12Q1/6883||A61K31/5377||A61P43/00||C07K16/244||G01N33/6893||C07K2317/21||C07K2317/24||C07K2317/76||C12Q2600/106||C12Q2600/118||C12Q2600/136||C12Q2600/156||C12Q2600/158||C12Q2600/172||G01N2500/04||G01N2800/205||;"""The present invention is based on the discovery of genetic polymorphisms that are associated with psoriasis and related pathologies. In particular, the present invention relates to nucleic acid molecules containing the polymorphisms, including groups of nucleic acid molecules that may be used as a signature marker set, such as a haplotype, a diplotype, variant proteins encoded by such nucleic acid molecules, reagents for detecting the polymorphic nucleic acid molecules and proteins, and methods of using the nucleic acid and proteins as well as methods of using reagents for their detection.""";"24";"16";"29";EP - Active Active Active Application Filing Active Active Active, WO - Active Active Active Application Filing Active Active Active, US - Active
US10006094B2;"""Methods for discriminating interspecific relationships and intraspecific relationships of lactic acid bacteria of Lactobacillus casei group by using MUTL or DNAJ degenerate primers""";US20170058327A1;"2017/3/2";"""US14/959,587""";"2015/12/4";"";"2018/6/26";"2015/8/28";"""Chien-Hsun Huang,Li-Na HUANG,Li-Ting Wang""";"""Food Industry Research and Development Institute""";C12Q1/689||C12Q2600/172||;"""Degenerate primers for amplifying fragments of the nucleotide sequences of mutL and dnaJ genes of a lactic acid bacterium of Lactobacillus casei group are provided. Methods and kits for discriminating interspecies and intraspecies of a lactic acid bacteria of Lb. casei group are also provided.""";"16";"2";"0";TW - Active Active, JP - Active Active, US - Active Active
US100060A;"""Improved stay for trunk lids""";US100060A;"";"";"";US100060A;-10904;"";"";"";E05F1/1075||E05C17/32||;"";"";"0";"1";US - Expired - Lifetime
US1000610A;"""Lunch""";US1000610A;"";"""US56425110A""";"1910/5/31";US1000610A;"1911/8/15";"1910/5/31";"""Mikolaj Krzewinski""";"""Mikolaj Krzewinski""";A47J36/26||;"";"";"0";"0";US - Expired - Lifetime
US1000611A;"""Violin""";US1000611A;"";"""US59573110A""";"1910/12/5";US1000611A;"1911/8/15";"1910/12/5";"""Theodor Kurth""";"""Theodor Kurth""";G10D3/16||;"";"";"0";"0";US - Expired - Lifetime
US1000612A;"""Ball""";US1000612A;"";"""US60188811A""";"1911/1/10";US1000612A;"1911/8/15";"1911/1/10";"""Henry La Casse""";"""Henry La Casse""";F16C19/10||;"";"";"0";"1";US - Expired - Lifetime
US1000614A;"""Wiring system for automatic telephone""";US1000614A;"";"""US51307909A""";"1909/8/16";US1000614A;"1911/8/15";"1909/8/16";"""Frank R Mcberty""";"""Western Electric Co Inc""";H04Q1/14||;"";"";"0";"1";US - Expired - Lifetime
US1000615A;"""Air""";US1000615A;"";"""US54049010A""";"1910/1/28";US1000615A;"1911/8/15";"1910/1/28";"""Charles W Mcgary""";"""HERBERT L HILDRETH""";F04C18/16||;"";"";"0";"1";US - Expired - Lifetime
US1000616A;"""Nap""";US1000616A;"";"""US54290310A""";"1910/2/9";US1000616A;"1911/8/15";"1910/2/9";"""Theodore Mead Jr""";"""George T Jancovius, Theodore Mead Jr""";D06C29/00||;"";"";"0";"1";US - Expired - Lifetime
US1000619A;"""Water""";US1000619A;"";"";"1910/12/12";US1000619A;"1911/8/15";"1910/12/12";"""Charles H Miller,Walter A Bunnell""";"""Charles H Miller, Walter A Bunnell""";B60K15/06||Y10S122/15||Y10T137/8626||Y10T137/86324||;"";"";"0";"4";US - Expired - Lifetime
US100061A;"""Improvement in windmills""";US100061A;"";"";"";US100061A;-10904;"";"";"";F05B2260/74||Y02E10/72||;"";"";"0";"0";US - Expired - Lifetime
US10006213B2;"""Swimming pool skimmer attachment""";US20170121994A1;"2017/5/4";"""US15/336,072""";"2016/10/27";US10006213B2;"2018/6/26";"2015/10/29";"""Christopher Andrew Keeler,Eric Wisnefsky""";"""Christopher Andrew Keeler, Eric Wisnefsky""";E04H4/1272||B01D35/1576||C02F1/001||C02F1/004||C02F2103/42||;"""A pool skimming system for removing debris from a pool water surface comprising a pool water skimmer; a stationary back plate removably connected to the pool water skimmer, the back plate comprising a front, a back, and an aperture; and a vertically mobile, buoyant front module comprising a rear slot disposed vertically, an aperture and a weir, the front module being slideably connected to the front of the back plate by connecting means at the vertical rear slot, wherein the front module moves up and down with the level of water in the pool to maintain a substantially constant position of the weir relative to the pool water surface.""";"11";"9";"1";US - Active
US10006217B2;"""Pool cleaning robot having waterline movement capabilities""";US20160177588A1;"2016/6/23";"""US14/980,229""";"2015/12/28";US10006217B2;"2018/6/26";"2012/9/11";"""Boaz Ben Dov,Yohanan Maggeni""";"""Maytronics Ltd""";E04H4/1654||;"""A cleaning robot that comprises a housing that comprises a fluid inlet, a fluid outlet, a rear edge and a front edge; a filtering unit; an impeller; a pump motor that is configured to rotate the impeller; wherein the impeller is configured to induce a flow of fluid from the fluid inlet through the filtering unit and towards the fluid outlet; wherein the pump motor is substantially closer to the front edge of the housing than to the rear edge of the housing; and wherein each one of the fluid inlet and the fluid outlet is substantially closer to the rear edge of the housing than to the front edge of the housing.""";"16";"13";"22";US - Active
US1000621A;"""Vehicle.""";US1000621A;"";"""US53044309A""";"1909/11/29";US1000621A;"1911/8/15";"1909/11/29";"""Anna A Mutschler""";"""Anna A Mutschler""";B60R9/02||;"";"";"0";"0";US - Expired - Lifetime
US10006227B1;"""Cable locking device""";US10006227B1;"";"""US15/821,542""";"2017/11/22";US10006227B1;"2018/6/26";"2017/11/22";"""Larry Lorant Szebeni""";"""Larry Lorant Szebeni""";E05B67/383||E05B67/003||E05B73/0005||E05B2067/386||E05B37/0034||;"""A locking device for adding security to an item locked by a lock having a cable, the locking device having: a housing configured to receive the lock by having a shape similar to the lock, the housing comprising an open top; a floor having mounting holes configured for receiving means for securing the housing to a surface; a first side wall having a first top wall end; and a second side wall; and means for receiving a first cable end and thus receiving the lock into the housing; means for restricting a movement of the first cable end out of the housing when means for unlocking and locking a second cable end into a first locking portion of the lock is in a locked state; and a first circular opening inaccessible from the first top wall end, and aligned with the first locking portion when the housing receives the lock.""";"13";"14";"0";US - Active
US1000622A;"""Lifting device for dumping""";US1000622A;"";"""US62489211A""";"1911/5/4";US1000622A;"1911/8/15";"1911/5/4";"""Charles Pay""";"""Charles Pay""";B60P1/12||;"";"";"0";"2";US - Expired - Lifetime
US10006247B2;"""Access control device for persons or device for counting persons designed as a turnstile""";US20170306698A1;"2017/10/26";"""US15/486,687""";"2017/4/13";"";"2018/6/26";"2016/4/26";"""Johann Ebner""";"""Skidata AG""";E06B11/08||E05F15/60||E05Y2900/40||;"""An access control device for persons designed as a turnstile (1) or a device for counting persons designed as a turnstile (1) is proposed which comprises a housing (2) in which at least one drive is arranged and which comprises two barrier arms (3, 4) which can be driven by at least one drive, which can be driven and controlled independently of one another and at the same speed or at a different speed.""";"7";"22";"1";EP - Active Active, ES - Active Active, AU - Ceased Active Active, US - Ceased Active Active, CA - Ceased Active Active
US1000624A;"""Cardboard carton.""";US1000624A;"";"""US59893610A""";"1910/12/23";US1000624A;"1911/8/15";"1910/12/23";"""Guy C Pexton""";"""Guy C Pexton""";B65D5/725||;"";"";"0";"20";US - Expired - Lifetime
US1000625A;"""Shuttle.""";US1000625A;"";"""US61117411A""";"1911/2/27";US1000625A;"1911/8/15";"1911/2/27";"""Charles Pommier""";"""Charles Pommier""";D03J5/08||;"";"";"0";"0";US - Expired - Lifetime
US100062A;"""Improved washing""";US100062A;"";"";"";US100062A;-10904;"";"";"";D06B5/00||;"";"";"0";"0";US - Expired - Lifetime
US1000631A;"""Device for cutting paper.""";US1000631A;"";"";"1910/12/17";US1000631A;"1911/8/15";"1910/12/17";"""Carlo Sola""";"""Carlo Sola""";B26D1/045||Y10T83/8822||;"";"";"0";"1";US - Expired - Lifetime
US10006320B2;"""System for controlling valve opening/closing timing""";US20170016359A1;"2017/1/19";"""US15/123,943""";"2015/3/5";"";"2018/6/26";"2014/3/19";"""Hiroyuki Amano,Koji Nunami,Takashi IWAYA""";"""Aisin Seiki Co Ltd""";F01L1/3442||F01L1/047||F02D13/0219||F01L2001/34426||F01L2001/3443||F01L2001/34453||F01L2001/34459||F01L2001/34463||F01L2001/34466||F01L2001/34473||F01L2001/34483||F01L2800/12||F01L2800/16||F01L2820/041||;"""A system for controlling valve opening/closing timing that allows an unlocking operation to be reliably performed is configured. When extracting a lock member from a recess, a second control valve is set to an unlock position, a first control valve is set to a predetermined position, and a relative rotation phase is displaced. As a result, the relative rotation phase is displaced in a direction opposite to the direction of displacement by cam average torque from a camshaft. Afterward, by setting the first control valve to a neutral position, the relative rotation phase is displaced by the cam average torque, and when this displacement occurs, a state in which the lock member is separated from an inner wall of the recess is created, thus facilitating extraction of the lock member from the recess.""";"4";"20";"0";JP - Expired - Fee Related, US - Active Application Filing Expired - Fee Related Active, WO - Active Application Filing Expired - Fee Related Active, CN - Active Application Filing Expired - Fee Related Active, EP - Active Application Filing Expired - Fee Related Active
US1000633A;"""Mechanism for gradually changing rotative velocity.""";US1000633A;"";"""US564154A""";"1910/5/31";US1000633A;"1911/8/15";"1910/5/31";"""Floyd F Stauffer""";"""WILLIAM J GLYNN""";F16H9/04||;"";"";"0";"1";US - Expired - Lifetime
US1000634A;"""Compound for printers' inking""";US1000634A;"";"""US53161809A""";"1909/12/6";US1000634A;"1911/8/15";"1909/12/6";"""Gray Staunton""";"""WILLIAM S POTWIN""";C08L93/00||;"";"";"0";"0";US - Expired - Lifetime
US10006353B2;"""Turbocharger system and control method for the same""";US20140301831A1;"2014/10/9";"""US14/308,769""";"2014/6/19";"";"2018/6/26";"2012/1/12";"""Atsushi Koike,Tsuyoshi Nishiyama,Kazuhiko Shinagawa,Mitsushi Maeyama,Satoshi Kusano,Yuji Kobayashi,Masanori Okada""";"""IHI Corp""";F02B37/22||F02B37/183||F02B39/16||F02D41/0007||F02D41/1446||F02D41/2429||Y02T10/12||Y02T10/144||;"""A turbocharger system of an embodiment includes: a wastegate valve; an electrically-operated actuator configured to adjust a valve lift of the wastegate valve; a temperature acquisition unit configured to acquire a target temperature which is a temperature of the turbocharger body or a temperature correlating with the temperature of the turbocharger body; and an actuator controller configured to control the electrically-operated actuator on the basis of the target temperature. The temperature acquisition unit acquires the target temperature, and the actuator controller controls the electrically-operated actuator on the basis of the target temperature.""";"5";"15";"14";JP - Active, WO - Application Filing Active Active, EP - Application Filing Active Active, CN - Application Filing Active Active, US - Active
US1000635A;"""Type""";US1000635A;"";"""US43277008A""";"1908/5/14";US1000635A;"1911/8/15";"1908/5/14";"""James Steel""";"""James Steel""";B41F27/10||;"";"";"0";"0";US - Expired - Lifetime
US10006377B2;"""Continuous variable valve duration apparatus and engine provided with the same""";US20170167397A1;"2017/6/15";"""US15/278,818""";"2016/9/28";US10006377B2;"2018/6/26";"2015/12/14";"""You Sang SON,Kyoung Pyo Ha,Back Sik Kim""";"""Hyundai Motor Co""";F02D13/0207||F01L1/04||F01L1/047||F01L1/053||F01L13/0015||F01L13/0026||F01L13/0036||F01L1/356||F01L2001/0473||F01L2001/0475||F01L2001/0476||F01L2001/0537||F01L2013/0084||F01L2013/103||F01L2740/00||F02D2041/001||Y02T10/12||Y02T10/18||;"""A continuous variable valve duration apparatus may include: a camshaft; first and second cam portions on which a cam is formed respectively, to which the camshaft is inserted and of which relative phase angles with respect to the camshaft are variable; first and second inner brackets transmitting rotation of the camshaft to the first and second cam portions respectively; a slider housing unit in which the first and second inner brackets are rotatably inserted and of which a relative positions with respect to the camshaft is variable; a control shaft parallel to the camshaft; a control rod eccentrically formed on the control shaft; a lifter on which a lifter hole and a rotation hole are formed; and a control portion selectively rotating the control shaft so as to controlling a position of the slider housing unit.""";"20";"14";"1";KR - IP Right Grant, US - Active Active Pending, CN - Active Active Pending, DE - Active Active Pending
US10006386B2;"""Fuel vapor processing apparatus""";US20170145932A1;"2017/5/25";"""US15/355,972""";"2016/11/18";US10006386B2;"2018/6/26";"2015/11/19";"""Naoyuki TAGAWA,Minoru Akita,Yoshikazu MIYABE,Tatsuhiko Akita,Yuusaku Nishimura,Keita Fukui""";"""Aisan Industry Co Ltd, Toyota Motor Corp""";F02D41/003||B01D53/0407||B01D53/0454||F02D41/004||F02D41/2438||F02D41/2441||F02D41/2451||F02D41/2464||F02D41/30||F02M25/08||F02M25/089||B01D2253/102||B01D2257/7022||B01D2259/4516||B60K2015/03514||B60K2015/0358||B60K2015/03585||F02D2200/0602||;"""A fuel vapor processing apparatus includes a vapor path connecting an adsorbent canister to a tank, where a valve is disposed in the vapor path and comprises a body and a seat, and a control unit configured to detect a movement distance of the body from the seat as a valve movement distance at a valve opening start position. This position results when a change in inner pressure of the tank after starting movement of the body toward a valve opening direction becomes greater in magnitude than a predetermined amount, wherein the control unit stores the valve movement distance in the valve opening direction as a learning value, and also stores one of two predetermined restriction values as the learning value instead of the valve movement distance when the valve movement distance is not within a range between a previously stored learning value and one of the restriction values.""";"5";"16";"4";JP - Active, US - Active Active Active, DE - Active Active Active, CN - Active Active Active
US10006388B2;"""Engine control apparatus and method""";US20150128585A1;"2015/5/14";"""US14/506,310""";"2014/10/3";US10006388B2;"2018/6/26";"2013/11/11";"""Yuhei UMEDA""";"""Fujitsu Ltd""";F02D41/0077||F02D41/0007||F02D41/0052||F02D41/1401||F02D41/18||F02D2041/1418||F02D2200/0406||F02D2200/0614||F02D2200/101||Y02T10/12||Y02T10/144||Y02T10/40||Y02T10/47||;"""An engine control apparatus controls an engine, by generating first and second instruction values to adjust an MAF of fresh air supplied to the engine and an MAP indicating a pressure of air supplied to the engine to respective target values, based on measured values of a first sensor which detects the MAF and a second sensor which detects the MAP, regardless of limiting conditions related to a totally closed or fully open state of an EGR and an VNT, switching a supplying destination of the measured values of the first and second sensors for a certain time after the generated first or second instruction value saturates, and generating the first and second instruction values to adjust the MAF and the MAP to the respective target values, based on the measured values of the first and second sensors, under the limiting conditions, when the switching occurs.""";"20";"13";"2";JP - Active, US - Active Active, EP - Active Active
US10006394B2;"""Method of detecting abnormality of air""";US20170191438A1;"2017/7/6";"""US15/325,221""";"2015/7/21";"";"2018/6/26";"2014/7/23";"""Go Hayashita,Hidenori Moriya,Koji Ide""";"""Toyota Motor Corp""";F02D41/2454||F01N11/00||F01N11/007||F01N3/101||F02D41/0295||F02D41/1402||F02D41/1441||F02D41/1456||F02D41/1495||F01N2550/00||F01N2550/02||F01N2900/1402||F01N2900/1624||F02D2041/1418||F02D2200/0814||F02D41/2441||Y02T10/12||Y02T10/22||Y02T10/40||Y02T10/47||;"""Downstream side air-fuel ratio sensor signal based adaptive air-fuel ratio control. When the air-fuel ratio detected by the downstream side air-fuel ratio sensor is maintained lean unduly, a stuck learning control is performed to decrease a learning value to lower the air-fuel ratio. Adaptive learning value update control is performed based on the downstream side air-fuel ratio sensor signal to increase the learning value when an upstream air-fuel ratio deviates to the rich side and to decrease the learning value when the upstream air-fuel ratio deviates to the lean side. It is judged that the downstream side air-fuel ratio sensor is abnormal when a certain value or more of decrease of the learning value and a certain value or more of increase of the learning value are repeated.""";"7";"11";"3";JP - Active, US - Active Active Application Filing Active, EP - Active Active Application Filing Active, WO - Active Active Application Filing Active, CN - Active Active Application Filing Active
US1000642A;"""Combination hose coupling and valve.""";US1000642A;"";"""US48612209A""";"1909/3/27";US1000642A;"1911/8/15";"1909/3/27";"""Owen W Thomas""";"""GUSTAVE F KREISEL""";F16L37/252||;"";"";"0";"0";US - Expired - Lifetime
US1000643A;"""Foot""";US1000643A;"";"""US61445411A""";"1911/3/14";US1000643A;"1911/8/15";"1911/3/14";"""Jesse L Thornbury""";"""Jesse L Thornbury""";A43B7/00||;"";"";"0";"2";US - Expired - Lifetime
US1000644A;"""Apparatus and method of transferring and candling eggs.""";US1000644A;"";"""US58808010A""";"1910/10/20";US1000644A;"1911/8/15";"1910/10/20";"""Howard Vanneman,Charles Zimmerlin""";"""Howard Vanneman, Charles Zimmerlin""";G01N33/085||;"";"";"0";"2";US - Expired - Lifetime
US1000645A;"""Spring""";US1000645A;"";"""US61832711A""";"1911/4/1";US1000645A;"1911/8/15";"1911/4/1";"""William Van Nieuwkerk,Theodore Gutcheis""";"""William Van Nieuwkerk, Theodore Gutcheis""";B60B9/06||;"";"";"0";"3";US - Expired - Lifetime
US1000646A;"""Treatment of acid tar.""";US1000646A;"";"""US58830310A""";"1910/10/21";US1000646A;"1911/8/15";"1910/10/21";"""Wilhelm O Th Van Tienen""";"""Bataafsche Petroleum Maatschappij NV""";C01B17/92||;"";"";"0";"0";US - Expired - Lifetime
US1000647A;"""Field""";US1000647A;"";"""US46322108A""";"1908/11/18";US1000647A;"1911/8/15";"1908/11/18";"""Karl Voeller""";"""RHEINISCHE METALL WAAREN und MASCHINENFABRIK""";F41A27/22||;"";"";"0";"0";US - Expired - Lifetime
US1000648A;"""Fish""";US1000648A;"";"""US61668011A""";"1911/3/24";US1000648A;"1911/8/15";"1911/3/24";"""Charles Wacker""";"""Charles Wacker""";A22C25/14||;"";"";"0";"2";US - Expired - Lifetime
US10006499B2;"""Multiplate clutch""";US20160091031A1;"2016/3/31";"""US14/834,672""";"2015/8/25";US10006499B2;"2018/6/26";"2014/9/25";"""Kenichi Nakano""";"""Honda Motor Co Ltd""";F16D13/74||F16D13/52||F16D2300/0214||;"""A pressure disk includes spring receiving portions for mounting coil springs that are elastically installed between the pressure disk and a clutch center. The spring receiving portions are aligned circumferentially on the outside in a radial direction with respect to an oil take-in hole. The spring receiving portions are provided with a supply hole in a side surface portion thereof toward the inside of the pressure disk. The supply hole introduces the oil supplied from the oil take-in hole. The spring receiving portion includes a discharge hole which discharges to the outside the oil introduced in the spring receiving portion. An inside cylindrical portion of the clutch center includes communication holes communicating with the outside.""";"10";"7";"2";JP - Active, AU - Ceased Expired - Fee Related Active Active Active, CA - Ceased Expired - Fee Related Active Active Active, US - Ceased Expired - Fee Related Active Active Active, EP - Ceased Expired - Fee Related Active Active Active, CN - Ceased Expired - Fee Related Active Active Active
US1000650A;"""Lister""";US1000650A;"";"""US49164209A""";"1909/4/22";US1000650A;"1911/8/15";"1909/4/22";"""Lewis E Waterman""";"""Emerson Brantingham Co""";A01B39/14||;"";"";"0";"1";US - Expired - Lifetime
US1000651A;"""Cultivator.""";US1000651A;"";"""US51662609A""";"1909/9/7";US1000651A;"1911/8/15";"1909/9/7";"""Lewis E Waterman""";"""Emerson Brantingham Co""";A01B35/08||;"";"";"0";"0";US - Expired - Lifetime
US10006521B2;"""Planetary gear train of automatic transmission for a vehicle""";US20180073603A1;"2018/3/15";"""US15/366,761""";"2016/12/1";US10006521B2;"2018/6/26";"2016/9/12";"""Hyun Sik KWON,Seong Wook Hwang,Ki Tae Kim,Wonmin CHO,Jae Chang Kook,Seongwook Ji""";"""Hyundai Motor Co""";F16H3/66||F16H3/64||F16H2200/0069||F16H2200/2012||F16H2200/2046||F16H2200/2097||;"""The present disclosure provides a planetary gear train of an automatic transmission for a vehicle. The planetary gear train may include: an input shaft receiving torque from an engine; an output shaft outputting changed torque; a first planetary gear set including a first rotation element, a second rotation element, and a third rotation element; a second planetary gear set including a fourth rotation element, a fifth rotation element, and a sixth rotation element; a third planetary gear set including a seventh rotation element, an eighth rotation element, and a ninth rotation element; a fourth planetary gear set including a tenth rotation element, an eleventh rotation element, and a twelfth rotation element. The planetary gear train may improve power delivery performance and reduce fuel consumption by providing ten forward speeds utilizing reduced components and also improve silent driving.""";"10";"11";"1";KR - IP Right Grant Active Active, US - IP Right Grant Active Active, CN - IP Right Grant Active Active
